Wahl;Wahlberechtigte;abgegeben;abgegeben_ratio;gultig;ungultig;ungultig_ratio;ÖVP_abs;ÖVP_ratio;SPÖ_abs;SPÖ_ratio;FPÖ_abs;FPÖ_ratio;GRÜN_abs;GRÜN_ratio;NEOS_abs;NEOS_ratio;PILZ_abs;PILZ_ratio;KPÖ_abs;KPÖ_ratio;BZÖ_abs;BZÖ_ratio;FRANK_abs;FRANK_ratio;LIF_abs;LIF_ratio;WdU_abs;WdU_ratio
29.09.2019;6.396.802;4.835.469;0,7559;4.777.246;58.223;0,0120;1.789.417;0,3746;1.011.868;0,2118;772.666;0,1617;664.055;0,1390;387.124;0,0810;89.169;0,0187;32.736;0,0069;760;0,0002;;;;;;
15.10.2017;6.400.993;5.120.881;0,8000;5.069.929;50.952;0,0099;1.595.526;0,3147;1.361.746;0,2686;1.316.442;0,2597;192.638;0,0380;268.518;0,0530;223.543;0,0441;39.689;0,0078;;;;;;;;
29.09.2013;6.384.308;4.782.410;0,7491;4.692.907;89.503;0,0187;1.125.876;0,2399;1.258.605;0,2682;962.313;0,2051;582.657;0,1242;232.946;0,0496;;;48.175;0,0103;165.746;0,0353;268.679;0,0573;;;;
28.09.2008;6.333.109;4.990.952;0,7881;4.887.309;103.643;0,0208;1.269.656;0,2598;1.430.206;0,2926;857.029;0,1754;509.936;0,1043;;;;;37.362;0,0076;522.933;0,1070;;;102.249;0,0209;;
01.10.2006;6.107.892;4.793.780;0,7849;4.708.281;85.499;0,0178;1.616.493;0,3433;1.663.986;0,3534;519.598;0,1104;520.130;0,1105;;;;;47.578;0,0101;193.539;0,0411;;;;;;
24.11.2002;5.912.592;4.982.261;0,8427;4.909.645;72.616;0,0146;2.076.833;0,4230;1.792.499;0,3651;491.328;0,1001;464.980;0,0947;;;;;27.568;0,0056;;;;;48.083;0,0098;;
03.10.1999;5.838.373;4.695.225;0,8042;4.622.354;72.871;0,0155;1.243.672;0,2691;1.532.448;0,3315;1.244.087;0,2691;342.260;0,0740;;;;;22.016;0,0048;;;;;168.612;0,0365;;
17.12.1995;5.768.099;4.959.455;0,8598;4.844.173;115.282;0,0232;1.370.510;0,2829;1.843.474;0,3806;1.060.377;0,2189;233.208;0,0481;;;;;13.938;0,0029;;;;;267.026;0,0551;;
09.10.1994;5.774.000;4.730.987;0,8194;4.633.114;97.873;0,0207;1.281.846;0,2767;1.617.804;0,3492;1.042.332;0,2250;338.538;0,0731;;;;;11.919;0,0026;;;;;276.580;0,0597;;
07.10.1990;5.628.912;4.848.741;0,8614;4.704.894;143.847;0,0297;1.508.600;0,3206;2.012.787;0,4278;782.648;0,1663;225.084;0,0478;;;;;25.682;0,0055;;;;;;;;
23.11.1986;5.461.414;4.940.298;0,9046;4.852.188;88.110;0,0178;2.003.663;0,4129;2.092.024;0,4312;472.205;0,0973;234.028;0,0482;;;;;35.104;0,0072;;;;;;;;
24.04.1983;5.316.392;4.922.454;0,9259;4.853.417;69.037;0,0140;2.097.808;0,4322;2.312.529;0,4765;241.789;0,0498;;;;;;;31.912;0,0066;;;;;;;;
06.05.1979;5.186.735;4.784.173;0,9224;4.729.251;54.922;0,0115;1.981.739;0,4190;2.413.226;0,5103;286.743;0,0606;;;;;;;45.280;0,0096;;;;;;;;
05.10.1975;5.019.277;4.662.684;0,9290;4.613.432;49.252;0,0106;1.981.291;0,4295;2.326.201;0,5042;249.444;0,0541;;;;;;;55.032;0,0119;;;;;;;;
10.10.1971;4.984.448;4.607.616;0,9244;4.556.990;50.626;0,0110;1.964.713;0,4311;2.280.168;0,5004;248.473;0,0545;;;;;;;61.762;0,0136;;;;;;;;
01.03.1970;5.045.841;4.630.851;0,9178;4.588.961;41.890;0,0090;2.051.012;0,4469;2.221.981;0,4842;253.425;0,0552;;;;;;;44.750;0,0098;;;;;;;;
06.03.1966;4.886.818;4.583.970;0,9380;4.531.885;52.085;0,0114;2.191.109;0,4835;1.928.985;0,4256;242.570;0,0535;;;;;;;18.636;0,0041;;;;;;;;
18.11.1962;4.805.351;4.506.007;0,9377;4.456.131;49.876;0,0111;2.024.501;0,4543;1.960.685;0,4400;313.895;0,0704;;;;;;;135.520;0,0304;;;;;;;;
10.05.1959;4.696.603;4.424.658;0,9421;4.362.856;61.802;0,0140;1.928.043;0,4419;1.953.935;0,4479;336.110;0,0770;;;;;;;142.578;0,0327;;;;;;;;
13.05.1956;4.614.464;4.427.711;0,9595;4.351.908;75.803;0,0171;1.999.986;0,4596;1.873.295;0,4305;283.749;0,0652;;;;;;;192.438;0,0442;;;;;;;;
22.02.1953;4.586.870;4.395.519;0,9583;4.318.688;76.831;0,0175;1.781.777;0,4126;1.818.517;0,4211;;;;;;;;;228.159;0,0528;;;;;;;472.866;0,1095
09.10.1949;4.391.815;4.250.616;0,9678;4.193.733;56.883;0,0134;1.846.581;0,4403;1.623.524;0,3871;;;;;;;;;213.066;0,0508;;;;;;;489.273;0,1167
25.11.1945;3.449.605;3.253.329;0,9431;3.217.354;35.975;0,0111;1.602.227;0,4980;1.434.898;0,4460;;;;;;;;;174.257;0,0542;;;;;;;;
